mapID,VEG,1HR,10HR,100HR,1kHR,10kHR,10k+HR,DUFF,GRASS,SHRUB,CANOPY,LITTER,ROT
410,Southern Appalachian montane pine forest and woodland,0.1,0.5,0.5,0.1,0,0,1,0.04,4.03,3.29,0.01,0.2
411,Edwards Plateau limestone savanna and woodland,0.2,0.4,0.8,0.2,0,0,0.2,0.18,0.75,2.26,0.046,0
412,Acadian - Appalachian alpine and subalpine woodlands and barrens,0.2,0.70,0.70,0,0,0,1,0.03,1.38,0.40,0.00,0
413,Northern oak barren woodland and grassland,0.2,0.5,0.5,1,0.5,0,0.4,0.3,0.35,6.35,0.20,0.2
414,Nashville Basin limestone glade and woodland,0.2,0.4,0.8,0,0,0,0.2,0.48,0.54,4.41,0.12,0
415,Cumberland sandstone glade and barrens,0,0,0,0,0,0,0.2,0.77,0.02,0.14,0.14,0
416,Calcareous glade and woodland,0.1,0.1,0.1,0.1,0,0,0.4,0.26,0.29,1.62,0.05,0
417,West Gulf Coastal Plain glade and barrens,0,0,0,0,0,0,0.2,0.43,0,0.20,0.08,0
418,Great Lakes alvar savanna and shrubland,0.1,0.1,0.1,0.1,0,0,0.4,0.26,0.11,0.61,0.04,0
419,Llano Uplift acidic woodland and glade,0.2,0.4,0,0.2,0,0,0.2,0.18,0.80,2.29,0.05,0
420,Great Lakes wet-mesic lakeplain prairie grassland,0,0,0,0,0,0,1,1.34,0.20,0,0.47,0
421,Bluegrass savanna and woodland,0.2,0.4,0.8,0,0,0,0.3,2,0.06,10.78,0.5,0
422,Arkansas Valley prairie and woodland,0,0,0,0,0,0,1,1.10,0,1.76,0.45,0
423,Highland Rim prairie and barrens,0,0,0,0,0,0,1,1.10,0,1.96,0.45,0
424,Southern Coastal Plain nonriverine cypress dome forest,0.2,0.2,0.5,0.5,0.5,0,4,0.12,1.39,11.15,0.03,1
425,Coastal Plain seepage swamp and baygall forest,0.5,0.5,1,1.50,0.5,0,1.5,0.06,2.55,21.89,0.02,2.00
426,Tamaulipan riparian forest,0.2,0.4,0.8,0.2,0.5,0,0.1,0.24,0.3,11.27,0.06,0.7
427,Laurentian - Acadian alkaline swamp forest,0.4,1,2,4,2,0,4,0.02,0.47,6.76,0.003,3
428,Melaleuca quinquenervia forest,0.3,0.3,0.5,0.5,0,0,1.5,0.16,0,19.88,0.07,0
429,Introduced upland vegetation - Treed,0.4,0.70,1.40,1.80,1.80,0,1,0.08,0.73,13.74,0.03,1.20
